Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio
2012-08-13,29.690,31.300,29.101,31.170,870050,N/A,21.3188,
2012-08-10,29.310,29.940,29.310,29.940,707390,N/A,20.4776,
2012-08-09,29.520,30.000,29.130,29.410,672584,N/A,20.1151,
2012-08-08,29.900,30.000,28.590,29.090,1308895,N/A,19.8962,
2012-08-07,28.770,30.900,28.500,30.250,2387304,N/A,20.6896,
2012-08-06,27.550,28.700,27.550,28.270,1528169,N/A,19.3354,
2012-08-03,26.900,27.550,26.740,27.270,1209470,N/A,18.6514,
2012-08-02,26.840,26.850,25.520,26.100,1305016,N/A,17.8512,
2012-08-01,27.990,27.990,26.030,26.250,1592217,N/A,17.9538,
2012-07-31,27.540,27.970,27.350,27.420,1575060,N/A,18.7540,
2012-07-30,29.510,30.248,27.210,27.350,2066040,N/A,18.7061,
2012-07-27,28.710,29.660,28.100,29.510,1672968,N/A,20.1835,
2012-07-26,29.900,30.000,27.640,28.130,2263005,N/A,19.2396,
2012-07-25,29.920,29.980,28.750,28.950,2844065,N/A,16.3622,
2012-07-24,30.660,31.040,29.620,29.840,1500426,N/A,16.8652,
2012-07-23,31.050,31.300,30.620,30.660,1386743,N/A,17.3286,
2012-07-20,32.070,32.250,31.250,31.790,1568466,N/A,17.9673,
2012-07-19,32.720,33.150,32.040,32.270,1435878,N/A,18.2386,
2012-07-18,31.420,33.670,31.060,32.150,2882084,N/A,18.1708,
2012-07-17,35.000,35.210,32.380,33.350,2569213,N/A,18.8490,
2012-07-16,34.320,36.000,33.900,35.960,1743908,N/A,20.3241,
2012-07-13,32.970,34.400,32.830,34.250,1304712,N/A,19.3577,
2012-07-12,31.290,33.010,30.800,32.700,1125670,N/A,18.4816,
2012-07-11,31.570,31.680,31.010,31.510,638516,N/A,17.8090,
2012-07-10,31.540,32.480,30.890,31.270,758352,N/A,17.6734,
2012-07-09,30.940,31.830,30.670,31.490,910409,N/A,17.7977,
2012-07-06,30.990,31.730,30.800,30.990,784661,N/A,17.5151,
2012-07-05,30.810,31.670,30.800,31.230,1253866,N/A,17.6508,
2012-07-04,0.000,0.000,0.000,30.660,0,N/A,N/A
2012-07-03,30.600,31.000,30.400,30.660,947128,N/A,17.3286,
2012-07-02,31.350,31.799,30.190,30.400,1315534,N/A,17.1817,
2012-06-29,32.800,32.800,31.000,31.290,1125704,N/A,17.6847,
2012-06-28,31.900,32.110,30.620,31.410,914040,N/A,17.7525,
2012-06-27,31.900,32.445,31.570,31.960,1047194,N/A,18.0634,
2012-06-26,32.050,32.350,31.390,31.610,2613849,N/A,17.8656,
2012-06-25,33.940,34.120,32.750,33.110,1503186,N/A,18.7133,
2012-06-22,32.600,33.980,32.460,33.785,3045952,N/A,19.0948,
2012-06-21,34.260,34.280,31.840,32.190,1891895,N/A,18.1934,
2012-06-20,33.500,34.500,33.210,33.780,3422342,N/A,19.0920,
2012-06-19,32.020,32.659,31.500,32.090,911029,N/A,18.1368,
2012-06-18,29.940,32.330,29.500,31.840,1256796,N/A,17.9956,
2012-06-15,29.390,29.950,28.810,29.910,646737,N/A,16.9047,
2012-06-14,30.180,30.650,28.620,29.390,872161,N/A,16.6108,
2012-06-13,29.550,30.640,29.470,29.770,844371,N/A,16.8256,
2012-06-12,29.230,29.840,28.810,29.660,568994,N/A,16.7634,
2012-06-11,30.310,31.000,28.958,29.120,635947,N/A,16.4582,
2012-06-08,28.860,30.190,28.147,30.080,881209,N/A,17.0008,
2012-06-07,29.810,29.870,28.850,28.930,492015,N/A,16.3509,
2012-06-06,28.200,29.450,28.140,29.220,931564,N/A,16.5148,
2012-06-05,27.840,28.390,27.560,27.910,630885,N/A,15.7744,
2012-06-04,28.030,28.410,27.110,27.880,1030834,N/A,15.7574,
2012-06-01,28.530,29.160,27.760,28.150,885710,N/A,15.9100,
2012-05-31,30.070,30.290,28.750,29.500,1118701,N/A,16.6730,
2012-05-30,31.080,31.420,30.240,30.410,1307141,N/A,17.1873,
2012-05-29,30.010,31.930,30.010,31.690,1649917,N/A,17.9108,
2012-05-28,0.000,0.000,0.000,29.810,0,N/A,N/A
2012-05-25,30.160,30.408,29.200,29.810,756909,N/A,16.8482,
2012-05-24,31.250,31.250,29.690,30.320,1074320,N/A,17.1365,
2012-05-23,30.560,31.050,29.500,31.020,1218445,N/A,17.5321,
2012-05-22,30.100,31.340,30.000,30.790,2360726,N/A,17.4021,
2012-05-21,27.580,29.260,27.120,28.770,1472870,N/A,16.2604,
2012-05-18,28.370,28.460,26.830,27.560,1616487,N/A,15.5766,
2012-05-17,29.300,29.790,28.240,28.570,1148918,N/A,16.1474,
2012-05-16,29.580,30.180,28.880,29.180,1257193,N/A,16.4922,
2012-05-15,30.260,30.960,29.220,29.430,1579692,N/A,16.6335,
2012-05-14,31.920,32.130,30.050,30.060,1378025,N/A,16.9895,
2012-05-11,32.490,33.440,32.160,32.250,1221205,N/A,18.2273,
2012-05-10,32.970,34.680,32.400,32.960,5551801,N/A,18.6286,
2012-05-09,30.300,30.770,29.760,30.060,1947828,N/A,15.3633,
2012-05-08,32.500,32.728,29.370,30.190,3096180,N/A,15.4298,
2012-05-07,31.960,32.580,31.610,32.470,1157969,N/A,16.5951,
2012-05-04,32.320,32.460,31.400,31.830,1247486,N/A,16.2680,
2012-05-03,33.910,34.000,32.130,32.460,842107,N/A,16.5900,
2012-05-02,33.500,34.390,33.390,33.940,497251,N/A,17.3464,
2012-05-01,33.130,34.210,33.130,33.780,658947,N/A,17.2646,
